timestamp,status
2025-01-13 07:00:54,Terdistraksi
2025-01-13 07:05:13,Fokus
2025-01-13 07:10:05,Fokus
2025-01-13 07:15:39,Mengantuk
2025-01-13 07:20:59,Fokus
2025-01-13 07:25:48,Fokus
2025-01-13 07:30:19,Fokus
2025-01-13 07:35:04,Fokus
2025-01-13 07:40:54,Fokus
2025-01-13 07:45:30,Terdistraksi
2025-01-13 07:50:21,Fokus
2025-01-13 07:55:59,Fokus
2025-01-13 08:00:06,Terdistraksi
2025-01-13 08:05:55,Fokus
2025-01-13 08:10:58,Fokus
2025-01-13 08:15:55,Fokus
2025-01-13 08:20:07,Fokus
2025-01-13 08:25:09,Fokus
2025-01-13 08:30:07,Fokus
2025-01-13 08:35:59,Fokus
2025-01-13 08:40:54,Fokus
2025-01-13 08:45:57,Fokus
2025-01-13 08:50:11,Mengantuk
2025-01-13 08:55:21,Fokus
2025-01-13 09:00:17,Mengantuk
2025-01-13 09:05:22,Fokus
2025-01-13 09:10:01,Fokus
2025-01-13 09:15:44,Fokus
2025-01-13 09:20:08,Terdistraksi
2025-01-13 09:25:00,Fokus
2025-01-13 09:30:19,Fokus
2025-01-13 09:35:44,Fokus
2025-01-13 09:40:21,Fokus
2025-01-13 09:45:47,Tidak Ada Aktivitas
2025-01-13 09:50:40,Fokus
2025-01-13 09:55:19,Tidak Ada Aktivitas
2025-01-13 10:00:39,Terdistraksi
2025-01-13 10:05:51,Fokus
2025-01-13 10:10:17,Fokus
2025-01-13 10:15:54,Mengantuk
2025-01-13 10:20:21,Tidak Ada Aktivitas
2025-01-13 10:25:25,Fokus
2025-01-13 10:30:48,Terdistraksi
2025-01-13 10:35:18,Terdistraksi
2025-01-13 10:40:19,Terdistraksi
2025-01-13 10:45:51,Terdistraksi
2025-01-13 10:50:09,Terdistraksi
2025-01-13 10:55:52,Fokus
2025-01-13 11:00:00,Fokus
2025-01-13 11:05:44,Fokus
2025-01-13 11:10:17,Terdistraksi
2025-01-13 11:15:01,Terdistraksi
2025-01-13 11:20:35,Mengantuk
2025-01-13 11:25:51,Fokus
2025-01-13 11:30:25,Fokus
2025-01-13 11:35:56,Fokus
2025-01-13 11:40:40,Fokus
2025-01-13 11:45:02,Fokus
2025-01-13 11:50:55,Terdistraksi
2025-01-13 11:55:53,Mengantuk
2025-01-13 13:00:58,Tidak Ada Aktivitas
2025-01-13 13:05:01,Terdistraksi
2025-01-13 13:10:35,Fokus
2025-01-13 13:15:31,Fokus
2025-01-13 13:20:29,Mengantuk
2025-01-13 13:25:40,Fokus
2025-01-13 13:30:09,Fokus
2025-01-13 13:35:15,Fokus
2025-01-13 13:40:37,Mengantuk
2025-01-13 13:45:13,Mengantuk
2025-01-13 13:50:29,Tidak Ada Aktivitas
2025-01-13 13:55:54,Terdistraksi
2025-01-13 14:00:23,Fokus
2025-01-13 14:05:19,Fokus
2025-01-13 14:10:41,Fokus
2025-01-13 14:15:04,Terdistraksi
2025-01-13 14:20:17,Terdistraksi
2025-01-13 14:25:23,Terdistraksi
2025-01-13 14:30:35,Mengantuk
2025-01-13 14:35:10,Fokus
2025-01-13 14:40:51,Terdistraksi
2025-01-13 14:45:05,Mengantuk
2025-01-13 14:50:19,Fokus
2025-01-13 14:55:05,Fokus
2025-01-13 15:00:03,Fokus
2025-01-13 15:05:12,Fokus
2025-01-13 15:10:48,Fokus
2025-01-13 15:15:11,Fokus
2025-01-13 15:20:10,Terdistraksi
2025-01-13 15:25:25,Mengantuk
2025-01-13 15:30:22,Fokus
2025-01-13 15:35:17,Fokus
2025-01-13 15:40:54,Terdistraksi
2025-01-13 15:45:50,Fokus
2025-01-13 15:50:32,Fokus
2025-01-13 15:55:10,Fokus
2025-01-13 16:00:11,Fokus
2025-01-13 16:05:38,Mengantuk
2025-01-13 16:10:13,Terdistraksi
2025-01-13 16:15:00,Fokus
2025-01-13 16:20:06,Fokus
2025-01-13 16:25:51,Fokus
2025-01-13 16:30:10,Fokus
2025-01-13 16:35:55,Terdistraksi
2025-01-13 16:40:43,Fokus
2025-01-13 16:45:40,Fokus
2025-01-13 16:50:55,Fokus
2025-01-13 16:55:56,Fokus
2025-01-13 19:00:48,Fokus
2025-01-13 19:05:24,Fokus
2025-01-13 19:10:10,Mengantuk
2025-01-13 19:15:44,Fokus
2025-01-13 19:20:14,Fokus
2025-01-13 19:25:01,Fokus
2025-01-13 19:30:33,Fokus
2025-01-13 19:35:14,Fokus
2025-01-13 19:40:27,Terdistraksi
2025-01-13 19:45:22,Fokus
2025-01-13 19:50:27,Fokus
2025-01-13 19:55:09,Fokus
2025-01-13 20:00:37,Fokus
2025-01-13 20:05:07,Fokus
2025-01-13 20:10:04,Fokus
2025-01-13 20:15:49,Fokus
2025-01-13 20:20:47,Fokus
2025-01-13 20:25:48,Terdistraksi
2025-01-13 20:30:56,Mengantuk
2025-01-13 20:35:08,Fokus
2025-01-13 20:40:45,Fokus
2025-01-13 20:45:34,Fokus
2025-01-13 20:50:44,Terdistraksi
2025-01-13 20:55:28,Fokus
2025-01-13 21:00:08,Fokus
2025-01-13 21:05:13,Fokus
2025-01-13 21:10:52,Mengantuk
2025-01-13 21:15:55,Mengantuk
2025-01-13 21:20:57,Fokus
2025-01-13 21:25:14,Fokus
2025-01-13 21:30:25,Terdistraksi
2025-01-13 21:35:01,Fokus
2025-01-13 21:40:42,Fokus
2025-01-13 21:45:49,Fokus
2025-01-13 21:50:10,Fokus
2025-01-13 21:55:42,Terdistraksi
2025-01-14 07:00:11,Terdistraksi
2025-01-14 07:05:18,Terdistraksi
2025-01-14 07:10:26,Fokus
2025-01-14 07:15:59,Terdistraksi
2025-01-14 07:20:42,Fokus
2025-01-14 07:25:51,Fokus
2025-01-14 07:30:31,Fokus
2025-01-14 07:35:27,Mengantuk
2025-01-14 07:40:25,Terdistraksi
2025-01-14 07:45:53,Fokus
2025-01-14 07:50:39,Fokus
2025-01-14 07:55:39,Fokus
2025-01-14 08:00:36,Fokus
2025-01-14 08:05:22,Fokus
2025-01-14 08:10:44,Fokus
2025-01-14 08:15:21,Fokus
2025-01-14 08:20:01,Fokus
2025-01-14 08:25:36,Terdistraksi
2025-01-14 08:30:38,Fokus
2025-01-14 08:35:42,Terdistraksi
2025-01-14 08:40:52,Fokus
2025-01-14 08:45:10,Fokus
2025-01-14 08:50:38,Fokus
2025-01-14 08:55:15,Fokus
2025-01-14 09:00:11,Terdistraksi
2025-01-14 09:05:33,Fokus
2025-01-14 09:10:37,Fokus
2025-01-14 09:15:59,Mengantuk
2025-01-14 09:20:40,Fokus
2025-01-14 09:25:47,Fokus
2025-01-14 09:30:17,Fokus
2025-01-14 09:35:45,Fokus
2025-01-14 09:40:10,Fokus
2025-01-14 09:45:53,Mengantuk
2025-01-14 09:50:48,Terdistraksi
2025-01-14 09:55:55,Mengantuk
2025-01-14 10:00:44,Terdistraksi
2025-01-14 10:05:37,Tidak Ada Aktivitas
2025-01-14 10:10:30,Terdistraksi
2025-01-14 10:15:47,Tidak Ada Aktivitas
2025-01-14 10:20:45,Fokus
2025-01-14 10:25:03,Fokus
2025-01-14 10:30:59,Mengantuk
2025-01-14 10:35:07,Fokus
2025-01-14 10:40:46,Fokus
2025-01-14 10:45:56,Fokus
2025-01-14 10:50:45,Fokus
2025-01-14 10:55:53,Fokus
2025-01-14 11:00:20,Terdistraksi
2025-01-14 11:05:37,Terdistraksi
2025-01-14 11:10:22,Mengantuk
2025-01-14 11:15:37,Fokus
2025-01-14 11:20:00,Fokus
2025-01-14 11:25:31,Fokus
2025-01-14 11:30:16,Fokus
2025-01-14 11:35:41,Fokus
2025-01-14 11:40:51,Tidak Ada Aktivitas
2025-01-14 11:45:55,Terdistraksi
2025-01-14 11:50:40,Fokus
2025-01-14 11:55:48,Terdistraksi
2025-01-14 13:00:19,Tidak Ada Aktivitas
2025-01-14 13:05:37,Mengantuk
2025-01-14 13:10:21,Fokus
2025-01-14 13:15:43,Tidak Ada Aktivitas
2025-01-14 13:20:41,Fokus
2025-01-14 13:25:06,Fokus
2025-01-14 13:30:59,Mengantuk
2025-01-14 13:35:35,Mengantuk
2025-01-14 13:40:06,Fokus
2025-01-14 13:45:33,Terdistraksi
2025-01-14 13:50:23,Fokus
2025-01-14 13:55:31,Mengantuk
2025-01-14 14:00:03,Mengantuk
2025-01-14 14:05:19,Mengantuk
2025-01-14 14:10:23,Mengantuk
2025-01-14 14:15:12,Fokus
2025-01-14 14:20:02,Fokus
2025-01-14 14:25:27,Fokus
2025-01-14 14:30:54,Fokus
2025-01-14 14:35:43,Terdistraksi
2025-01-14 14:40:25,Mengantuk
2025-01-14 14:45:50,Fokus
2025-01-14 14:50:00,Terdistraksi
2025-01-14 14:55:56,Fokus
2025-01-14 15:00:37,Fokus
2025-01-14 15:05:55,Terdistraksi
2025-01-14 15:10:52,Fokus
2025-01-14 15:15:33,Terdistraksi
2025-01-14 15:20:55,Terdistraksi
2025-01-14 15:25:42,Fokus
2025-01-14 15:30:29,Terdistraksi
2025-01-14 15:35:32,Terdistraksi
2025-01-14 15:40:57,Fokus
2025-01-14 15:45:00,Fokus
2025-01-14 15:50:34,Fokus
2025-01-14 15:55:09,Terdistraksi
2025-01-14 16:00:50,Terdistraksi
2025-01-14 16:05:32,Fokus
2025-01-14 16:10:33,Fokus
2025-01-14 16:15:24,Fokus
2025-01-14 16:20:13,Fokus
2025-01-14 16:25:44,Fokus
2025-01-14 16:30:59,Fokus
2025-01-14 16:35:27,Terdistraksi
2025-01-14 16:40:15,Fokus
2025-01-14 16:45:10,Fokus
2025-01-14 16:50:53,Terdistraksi
2025-01-14 16:55:56,Fokus
2025-01-14 19:00:21,Mengantuk
2025-01-14 19:05:39,Terdistraksi
2025-01-14 19:10:43,Fokus
2025-01-14 19:15:48,Fokus
2025-01-14 19:20:14,Fokus
2025-01-14 19:25:24,Fokus
2025-01-14 19:30:07,Fokus
2025-01-14 19:35:18,Fokus
2025-01-14 19:40:22,Fokus
2025-01-14 19:45:45,Fokus
2025-01-14 19:50:25,Terdistraksi
2025-01-14 19:55:37,Terdistraksi
2025-01-14 20:00:37,Terdistraksi
2025-01-14 20:05:59,Fokus
2025-01-14 20:10:33,Fokus
2025-01-14 20:15:49,Fokus
2025-01-14 20:20:52,Fokus
2025-01-14 20:25:46,Fokus
2025-01-14 20:30:25,Fokus
2025-01-14 20:35:41,Fokus
2025-01-14 20:40:05,Fokus
2025-01-14 20:45:08,Fokus
2025-01-14 20:50:40,Terdistraksi
2025-01-14 20:55:01,Fokus
2025-01-14 21:00:50,Fokus
2025-01-14 21:05:59,Fokus
2025-01-14 21:10:25,Mengantuk
2025-01-14 21:15:04,Fokus
2025-01-14 21:20:00,Mengantuk
2025-01-14 21:25:51,Mengantuk
2025-01-14 21:30:32,Fokus
2025-01-14 21:35:49,Terdistraksi
2025-01-14 21:40:07,Terdistraksi
2025-01-14 21:45:33,Terdistraksi
2025-01-14 21:50:00,Fokus
2025-01-14 21:55:23,Mengantuk
2025-01-15 07:00:13,Terdistraksi
2025-01-15 07:05:51,Fokus
2025-01-15 07:10:24,Fokus
2025-01-15 07:15:58,Mengantuk
2025-01-15 07:20:36,Fokus
2025-01-15 07:25:05,Fokus
2025-01-15 07:30:33,Mengantuk
2025-01-15 07:35:43,Fokus
2025-01-15 07:40:47,Fokus
2025-01-15 07:45:10,Fokus
2025-01-15 07:50:56,Fokus
2025-01-15 07:55:42,Fokus
2025-01-15 08:00:20,Fokus
2025-01-15 08:05:22,Fokus
2025-01-15 08:10:55,Fokus
2025-01-15 08:15:11,Fokus
2025-01-15 08:20:50,Fokus
2025-01-15 08:25:29,Fokus
2025-01-15 08:30:45,Fokus
2025-01-15 08:35:54,Fokus
2025-01-15 08:40:29,Fokus
2025-01-15 08:45:30,Fokus
2025-01-15 08:50:48,Terdistraksi
2025-01-15 08:55:56,Terdistraksi
2025-01-15 09:00:29,Terdistraksi
2025-01-15 09:05:26,Fokus
2025-01-15 09:10:18,Fokus
2025-01-15 09:15:02,Terdistraksi
2025-01-15 09:20:13,Tidak Ada Aktivitas
2025-01-15 09:25:06,Terdistraksi
2025-01-15 09:30:21,Mengantuk
2025-01-15 09:35:29,Fokus
2025-01-15 09:40:31,Fokus
2025-01-15 09:45:15,Terdistraksi
2025-01-15 09:50:46,Terdistraksi
2025-01-15 09:55:06,Fokus
2025-01-15 10:00:08,Fokus
2025-01-15 10:05:02,Fokus
2025-01-15 10:10:34,Fokus
2025-01-15 10:15:30,Mengantuk
2025-01-15 10:20:30,Fokus
2025-01-15 10:25:59,Fokus
2025-01-15 10:30:39,Fokus
2025-01-15 10:35:13,Fokus
2025-01-15 10:40:33,Terdistraksi
2025-01-15 10:45:02,Mengantuk
2025-01-15 10:50:40,Fokus
2025-01-15 10:55:14,Fokus
2025-01-15 11:00:19,Fokus
2025-01-15 11:05:19,Terdistraksi
2025-01-15 11:10:41,Fokus
2025-01-15 11:15:19,Fokus
2025-01-15 11:20:15,Terdistraksi
2025-01-15 11:25:48,Fokus
2025-01-15 11:30:35,Terdistraksi
2025-01-15 11:35:48,Fokus
2025-01-15 11:40:26,Mengantuk
2025-01-15 11:45:38,Fokus
2025-01-15 11:50:37,Fokus
2025-01-15 11:55:46,Fokus
2025-01-15 13:00:43,Fokus
2025-01-15 13:05:17,Fokus
2025-01-15 13:10:08,Terdistraksi
2025-01-15 13:15:18,Fokus
2025-01-15 13:20:39,Fokus
2025-01-15 13:25:24,Fokus
2025-01-15 13:30:55,Fokus
2025-01-15 13:35:18,Terdistraksi
2025-01-15 13:40:27,Terdistraksi
2025-01-15 13:45:44,Mengantuk
2025-01-15 13:50:51,Mengantuk
2025-01-15 13:55:51,Terdistraksi
2025-01-15 14:00:43,Terdistraksi
2025-01-15 14:05:47,Terdistraksi
2025-01-15 14:10:36,Terdistraksi
2025-01-15 14:15:58,Mengantuk
2025-01-15 14:20:10,Fokus
2025-01-15 14:25:19,Mengantuk
